"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"ESD-Logo_6.6x6mm_SilkScreen";1;"ESD-Logo_6.6x6mm_SilkScreen";;;
2;"REF**";"OSHW-Logo_7.5x8mm_SilkScreen";1;"OSHW-Logo_7.5x8mm_SilkScreen";;;
3;"H2,H1";"MountingHole_2mm";2;"MountingHole";;;
4;"D1";"LED_0805_2012Metric";1;"LED";;;
5;"M1";"DC-DC_Buck_Step_Module";1;"DC-DC_Buck_Step_Module";;;
6;"A7,GND1";"TestPoint_Pad_1.5x1.5mm";2;"GND";;;
7;"A6,SDA1";"TestPoint_Pad_1.5x1.5mm";2;"SDA";;;
8;"A3,SCL1";"TestPoint_Pad_1.5x1.5mm";2;"SCL";;;
9;"A2,+3V3";"TestPoint_Pad_1.5x1.5mm";2;"+3v3";;;
10;"R3";"R_0805_2012Metric";1;"2.2kR";;;
11;"SW1";"SW_Push_1P1T_NO_CK_KSC6xxJ";1;"SW_DIP_x01";;;
12;"R4,R2,R1";"R_0805_2012Metric";3;"4.7k";;;
13;"J6,J4";"TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal";2;"Screw_Terminal_01x03";;;
14;"J3";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"Screw_Terminal_01x02";;;
15;"U2";"ARDUINO_Pro-MiniALLB_Aliexpress";1;"ARDUINO_Pro-MiniALL";;;
16;"DIO2,DIO3,DIO5,DIO1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";4;"SolderJumper_2_Open";;;
17;"J1";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial";;;
18;"U1";"HOPERF_RFM9XW_SMD";1;"RFM95W-868S2";;;
19;"C1";"C_0805_2012Metric";1;"4.7uF/6.3v";;;
